"trigram","n","start","end"
"just think also",2,"just think","also"
"just three hour",2,"just three","hour"
"just want get",2,"just want","get"
"just want someth",2,"just want","someth"
"just want think",2,"just want","think"
"keep come back",2,"keep come","back"
"keep good work",2,"keep good","work"
"keep open mind",2,"keep open","mind"
"keisha cole mom",2,"keisha cole","mom"
"kennywood west mifflin",2,"kennywood west","mifflin"
"kick g gentri",2,"kick g","gentri"
"kinder farm park",2,"kinder farm","park"
"knock em dead",2,"knock em","dead"
"know break news",2,"know break","news"
"know im talk",2,"know im","talk"
"know know im",2,"know know","im"
"know other dont",2,"know other","dont"
"know u r",2,"know u","r"
"krampus legend art",2,"krampus legend","art"
"l shelton yearold",2,"l shelton","yearold"
"ladi act like",2,"ladi act","like"
"lake saint loui",2,"lake saint","loui"
"laker first point",2,"laker first","point"
"lambiek year old",2,"lambiek year","old"
"larg number peopl",2,"larg number","peopl"
"larg parti eat",2,"larg parti","eat"
"last coupl week",2,"last coupl","week"
"last five year",2,"last five","year"
"last night game",2,"last night","game"
"last night got",2,"last night","got"
"last night shoot",2,"last night","shoot"
"last night thank",2,"last night","thank"
"last season now",2,"last season","now"
"last two year",2,"last two","year"
"last week report",2,"last week","report"
"last year first",2,"last year","first"
"last year sf",2,"last year","sf"
"late night walk",2,"late night","walk"
"ldl level mgdl",2,"ldl level","mgdl"
"leagu pate fountain",2,"leagu pate","fountain"
"least six month",2,"least six","month"
"left turn lane",2,"left turn","lane"
"legend art workshop",2,"legend art","workshop"
"lego star war",2,"lego star","war"
"lemonad stand kit",2,"lemonad stand","kit"
"less two year",2,"less two","year"
"let get rt",2,"let get","rt"
"let just say",2,"let just","say"
"let know can",2,"let know","can"
"let know think",2,"let know","think"
"life can chang",2,"life can","chang"
"life right now",2,"life right","now"
"life skill center",2,"life skill","center"
"light one like",2,"light one","like"
"like everyon els",2,"like everyon","els"
"like everyth els",2,"like everyth","els"
"like exist adult",2,"like exist","adult"
"like right way",2,"like right","way"
"like see us",2,"like see","us"
"line parchment paper",2,"line parchment","paper"
"list thing need",2,"list thing","need"
"littl bit time",2,"littl bit","time"
"littl stage puppet",2,"littl stage","puppet"
"live way want",2,"live way","want"
"local law enforc",2,"local law","enforc"
"locat locat locat",2,"locat locat","locat"
"long ago kept",2,"long ago","kept"
"long ago stay",2,"long ago","stay"
"long black hair",2,"long black","hair"
"long long time",2,"long long","time"
"long time now",2,"long time","now"
"look back now",2,"look back","now"
"look forward kid",2,"look forward","kid"
"look forward read",2,"look forward","read"
"look forward see",2,"look forward","see"
"look forward tomorrow",2,"look forward","tomorrow"
"look just like",2,"look just","like"
"look like just",2,"look like","just"
"los angel counti",2,"los angel","counti"
"lose belli fat",2,"lose belli","fat"
"lost half pound",2,"lost half","pound"
"lost love one",2,"lost love","one"
"lost percent nasdaq",2,"lost percent","nasdaq"
"love just hope",2,"love just","hope"
"love love love",2,"love love","love"
"love love sound",2,"love love","sound"
"love sit chat",2,"love sit","chat"
"low fat diet",2,"low fat","diet"
"lower rack plate",2,"lower rack","plate"
"lowfat plantbas diet",2,"lowfat plantbas","diet"
"luther king jr",2,"luther king","jr"
"m last weekend",2,"m last","weekend"
"m make gross",2,"m make","gross"
"m sign bonus",2,"m sign","bonus"
"made seem like",2,"made seem","like"
"magic creatur book",2,"magic creatur","book"
"major trophi everi",2,"major trophi","everi"
"make amount money",2,"make amount","money"
"make come aliv",2,"make come","aliv"
"make gross m",2,"make gross","m"
"make health care",2,"make health","care"
"make look like",2,"make look","like"
"make million dollar",2,"make million","dollar"
"make money money",2,"make money","money"
"make one wonder",2,"make one","wonder"
"make perfect gift",2,"make perfect","gift"
"make situat wors",2,"make situat","wors"
"make sure check",2,"make sure","check"
"make sure follow",2,"make sure","follow"
"make sure get",2,"make sure","get"
"make us laugh",2,"make us","laugh"
"man cite disord",2,"man cite","disord"
"man youv got",2,"man youv","got"
"manag manni acta",2,"manag manni","acta"
"mani differ way",2,"mani differ","way"
"mark first time",2,"mark first","time"
"mark th anniversari",2,"mark th","anniversari"
"market park lot",2,"market park","lot"
"market share time",2,"market share","time"
"marketwatch press releas",2,"marketwatch press","releas"
"maryland stadium author",2,"maryland stadium","author"
"maryland state board",2,"maryland state","board"
"master plan updat",2,"master plan","updat"
"matter hard tri",2,"matter hard","tri"
"matter whether win",2,"matter whether","win"
"may look like",2,"may look","like"
"may u u",2,"may u","u"
"mayb one day",2,"mayb one","day"
"mean take time",2,"mean take","time"
"mega million jackpot",2,"mega million","jackpot"
"member us militari",2,"member us","militari"
"mental health issu",2,"mental health","issu"
"microwav safe bowlcook",2,"microwav safe","bowlcook"
"might come handi",2,"might come","handi"
"million bond propos",2,"million bond","propos"
"million cent share",2,"million cent","share"
"million dollar year",2,"million dollar","year"
"million euro million",2,"million euro","million"
"million euro rm",2,"million euro","rm"
"million feder money",2,"million feder","money"
"million first quarter",2,"million first","quarter"
"million first year",2,"million first","year"
"minc fine add",2,"minc fine","add"
"minist benjamin netanyahu",2,"minist benjamin","netanyahu"
"minut golden brown",2,"minut golden","brown"
"minut second left",2,"minut second","left"
"miss famili much",2,"miss famili","much"
"missil defens system",2,"missil defens","system"
"mmfcl c jpmorgan",2,"mmfcl c","jpmorgan"
"mmfcl d r",2,"mmfcl d","r"
"mmfinv r h",2,"mmfinv r","h"
"mmfinvestor r h",2,"mmfinvestor r","h"
"mmfmorgan jpmorgan liquid",2,"mmfmorgan jpmorgan","liquid"
"mobil technolog patent",2,"mobil technolog","patent"
"monday friday pm",2,"monday friday","pm"
"monday night footbal",2,"monday night","footbal"
"monday night move",2,"monday night","move"
"money build bridg",2,"money build","bridg"
"morn roll bed",2,"morn roll","bed"
"mouth close mouth",2,"mouth close","mouth"
"move new apart",2,"move new","apart"
"mr bush neighborhood",2,"mr bush","neighborhood"
"mr edward mr",2,"mr edward","mr"
"multipl time day",2,"multipl time","day"
"name address sourc",2,"name address","sourc"
"natur interpret center",2,"natur interpret","center"
"near two hour",2,"near two","hour"
"near two week",2,"near two","week"
"need get home",2,"need get","home"
"need make sure",2,"need make","sure"
"neutral site game",2,"neutral site","game"
"never expect see",2,"never expect","see"
"never seem like",2,"never seem","like"
"never step foot",2,"never step","foot"
"never want see",2,"never want","see"
"new england patriot",2,"new england","patriot"
"new high school",2,"new high","school"
"new jersey director",2,"new jersey","director"
"new jersey net",2,"new jersey","net"
"new jersey turnpik",2,"new jersey","turnpik"
"new jersey week",2,"new jersey","week"
"new jersey well",2,"new jersey","well"
"new law appli",2,"new law","appli"
"new nail cell",2,"new nail","cell"
"new year eve",2,"new year","eve"
"new year everyon",2,"new year","everyon"
"new year resolut",2,"new year","resolut"
"new york jet",2,"new york","jet"
"new york knick",2,"new york","knick"
"new york new",2,"new york","new"
"new york ranger",2,"new york","ranger"
"new york stock",2,"new york","stock"
"new york washington",2,"new york","washington"
"news world hack",2,"news world","hack"
"next school year",2,"next school","year"
"next thing know",2,"next thing","know"
"next three day",2,"next three","day"
"next two year",2,"next two","year"
"next year get",2,"next year","get"
"nice relax day",2,"nice relax","day"
"night drink special",2,"night drink","special"
"nonlif threaten injuri",2,"nonlif threaten","injuri"
"nonwin prebowl record",2,"nonwin prebowl","record"
"normandi florenc normandi",2,"normandi florenc","normandi"
"novemb pass away",2,"novemb pass","away"
"now get bed",2,"now get","bed"
"now ive got",2,"now ive","got"
"now let get",2,"now let","get"
"offens line coach",2,"offens line","coach"
"offic involv shoot",2,"offic involv","shoot"
"oh god amaz",2,"oh god","amaz"
"oh god oh",2,"oh god","oh"
"oh thank much",2,"oh thank","much"
"oil natur gas",2,"oil natur","gas"
"old girardin lambiek",2,"old girardin","lambiek"
"old high school",2,"old high","school"
"olymp committe first",2,"olymp committe","first"
"one can see",2,"one can","see"
"one day like",2,"one day","like"
"one game left",2,"one game","left"
"one place can",2,"one place","can"
"one question ask",2,"one question","ask"
"one step closer",2,"one step","closer"
"one success stori",2,"one success","stori"
"one thing clear",2,"one thing","clear"
"one thing get",2,"one thing","get"
"one will ever",2,"one will","ever"
"one will rememb",2,"one will","rememb"
"one year ago",2,"one year","ago"
"oneyear anniversari osama",2,"oneyear anniversari","osama"
"open gay spokesman",2,"open gay","spokesman"
"open mouth close",2,"open mouth","close"
"oper right hand",2,"oper right","hand"
"opportun work team",2,"opportun work","team"
"overal hire remain",2,"overal hire","remain"
"pacif gas electr",2,"pacif gas","electr"
"pandoralik radio station",2,"pandoralik radio","station"
"paper creativ imagin",2,"paper creativ","imagin"
"paper make feel",2,"paper make","feel"
"park sept u",2,"park sept","u"
"parti eat whole",2,"parti eat","whole"
"paseo de la",2,"paseo de","la"
"pass away morn",2,"pass away","morn"
"pass jordan eli",2,"pass jordan","eli"
"passion fruit flavor",2,"passion fruit","flavor"
"past sever year",2,"past sever","year"
"past three month",2,"past three","month"
"pattern paper creativ",2,"pattern paper","creativ"
"pay lower tax",2,"pay lower","tax"
"penn state univers",2,"penn state","univers"
"pension health benefit",2,"pension health","benefit"
"peopl actual pay",2,"peopl actual","pay"
"peopl can just",2,"peopl can","just"
"peopl come will",2,"peopl come","will"
"peopl dont expect",2,"peopl dont","expect"
"peopl everi day",2,"peopl everi","day"
"peopl includ top",2,"peopl includ","top"
"peopl live danger",2,"peopl live","danger"
"peopl mental ill",2,"peopl mental","ill"
"peopl new jersey",2,"peopl new","jersey"
"peopl pay attent",2,"peopl pay","attent"
"peopl real life",2,"peopl real","life"
"peopl realli care",2,"peopl realli","care"
"peopl will come",2,"peopl will","come"
"peopl will say",2,"peopl will","say"
"percent got percent",2,"percent got","percent"
"percent nasdaq composit",2,"percent nasdaq","composit"
"perform art center",2,"perform art","center"
"person financi inform",2,"person financi","inform"
"pet peev peopl",2,"pet peev","peopl"
"petit howard counti",2,"petit howard","counti"
"pharmaci benefit manag",2,"pharmaci benefit","manag"
"pico de gallo",2,"pico de","gallo"
"ping pong ball",2,"ping pong","ball"
"plan will help",2,"plan will","help"
"plate blue white",2,"plate blue","white"
"play field level",2,"play field","level"
"play good defens",2,"play good","defens"
"play import role",2,"play import","role"
"play well defens",2,"play well","defens"
"pleas dont ever",2,"pleas dont","ever"
"pm april pm",2,"pm april","pm"
"pm pm may",2,"pm pm","may"
"point will take",2,"point will","take"
"pois creation twitter",2,"pois creation","twitter"
"port author polic",2,"port author","polic"
"pos yr term",2,"pos yr","term"
"preheat oven degre",2,"preheat oven","degre"
"prepackag reorgan plan",2,"prepackag reorgan","plan"
"presid georg w",2,"presid georg","w"
"presid hamid karzai",2,"presid hamid","karzai"
"presid health care",2,"presid health","care"
"presid ronald reagan",2,"presid ronald","reagan"
"presidenti candid mitt",2,"presidenti candid","mitt"
"press confer announc",2,"press confer","announc"
"pretti good go",2,"pretti good","go"
"pretti much everi",2,"pretti much","everi"
"prime minist benjamin",2,"prime minist","benjamin"
"probabl say thing",2,"probabl say","thing"
"produc trail light",2,"produc trail","light"
"program cycl special",2,"program cycl","special"
"project gretchen rubin",2,"project gretchen","rubin"
"pronounc dead scene",2,"pronounc dead","scene"
"protect tradit marriag",2,"protect tradit","marriag"
"public stock offer",2,"public stock","offer"
"public water system",2,"public water","system"
"put thing perspect",2,"put thing","perspect"
"put us map",2,"put us","map"
"r janus mmfcl",2,"r janus","mmfcl"
"r u still",2,"r u","still"
"rain barrel use",2,"rain barrel","use"
"rais serious question",2,"rais serious","question"
"read jean rhys",2,"read jean","rhys"
"realli dont understand",2,"realli dont","understand"
"realli need michael",2,"realli need","michael"
"realli realli excit",2,"realli realli","excit"
"realli realli good",2,"realli realli","good"
"realli realli love",2,"realli realli","love"
"realli realli realli",2,"realli realli","realli"
"realli want get",2,"realli want","get"
"realli want someth",2,"realli want","someth"
"reason start blog",2,"reason start","blog"
"reason took long",2,"reason took","long"
"recent cover reveal",2,"recent cover","reveal"
"recip passion fruit",2,"recip passion","fruit"
"record last year",2,"record last","year"
"remain strong hospit",2,"remain strong","hospit"
"remov stem cell",2,"remov stem","cell"
"rep marcia fudg",2,"rep marcia","fudg"
"rhys girl read",2,"rhys girl","read"
"right now alway",2,"right now","alway"
"right now im",2,"right now","im"
"right now that",2,"right now","that"
"risk cancer heart",2,"risk cancer","heart"
"risk heart diseas",2,"risk heart","diseas"
"road rant lookout",2,"road rant","lookout"
"road red carpet",2,"road red","carpet"
"roast squash seed",2,"roast squash","seed"
"rob manfr age",2,"rob manfr","age"
"roll panic affili",2,"roll panic","affili"
"roman cathol code",2,"roman cathol","code"
"rose almost percent",2,"rose almost","percent"
"rose percent million",2,"rose percent","million"
"rt hope well",2,"rt hope","well"
"run around like",2,"run around","like"
"run around stage",2,"run around","stage"
"run four game",2,"run four","game"
"run run run",2,"run run","run"
"runner score posit",2,"runner score","posit"
"runtex hire produc",2,"runtex hire","produc"
"s earli s",2,"s earli","s"
"sad see go",2,"sad see","go"
"said didnt want",2,"said didnt","want"
"said fabric roll",2,"said fabric","roll"
"said follow twitter",2,"said follow","twitter"
"said hes got",2,"said hes","got"
"said hi everyon",2,"said hi","everyon"
"said last week",2,"said last","week"
"said new rule",2,"said new","rule"
"said pronounc dead",2,"said pronounc","dead"
"said that go",2,"said that","go"
"said want make",2,"said want","make"
"said will take",2,"said will","take"
"sale last year",2,"sale last","year"
"san diego mayor",2,"san diego","mayor"
"san diego will",2,"san diego","will"
"san francisco chicago",2,"san francisco","chicago"
"san francisco er",2,"san francisco","er"
"san francisco state",2,"san francisco","state"
"santa ana unifi",2,"santa ana","unifi"
"saw polic offic",2,"saw polic","offic"
"say everyth went",2,"say everyth","went"
"say goodby close",2,"say goodby","close"
"say ive realli",2,"say ive","realli"
"say just just",2,"say just","just"
"scale back ambit",2,"scale back","ambit"
"school disciplin polici",2,"school disciplin","polici"
"school district part",2,"school district","part"
"score four time",2,"score four","time"
"scott state park",2,"scott state","park"
"sdge led holiday",2,"sdge led","holiday"
"season averag point",2,"season averag","point"
"see anoth day",2,"see anoth","day"
"see anoth one",2,"see anoth","one"
"see finish product",2,"see finish","product"
"see light day",2,"see light","day"
"seem good time",2,"seem good","time"
"seem like good",2,"seem like","good"
"selftitl debut album",2,"selftitl debut","album"
"sen john mccain",2,"sen john","mccain"
"senior vice presid",2,"senior vice","presid"
"sept u u",2,"sept u","u"
"seri get pick",2,"seri get","pick"
"servic desk pay",2,"servic desk","pay"
"seven year ago",2,"seven year","ago"
"sever factor includ",2,"sever factor","includ"
"sexual transmit diseas",2,"sexual transmit","diseas"
"sf art commiss",2,"sf art","commiss"
"shakope man cite",2,"shakope man","cite"
"shane ask rickey",2,"shane ask","rickey"
"sheet bake minut",2,"sheet bake","minut"
"sheet line parchment",2,"sheet line","parchment"
"shelton yearold boy",2,"shelton yearold","boy"
"ship next day",2,"ship next","day"
"show last night",2,"show last","night"
"show start pm",2,"show start","pm"
"shuttl will drop",2,"shuttl will","drop"
"side wall form",2,"side wall","form"
"silk color palett",2,"silk color","palett"
"silver creek def",2,"silver creek","def"
"sinc earli march",2,"sinc earli","march"
"sinc got back",2,"sinc got","back"
"sinc govern never",2,"sinc govern","never"
"sinc great depress",2,"sinc great","depress"
"sinc last year",2,"sinc last","year"
"sinc took offic",2,"sinc took","offic"
"skillet mediumhigh heat",2,"skillet mediumhigh","heat"
"small busi owner",2,"small busi","owner"
"smelli cat smelli",2,"smelli cat","smelli"
"smith took advantag",2,"smith took","advantag"
"social media manag",2,"social media","manag"
"social secur benefit",2,"social secur","benefit"
"social work associ",2,"social work","associ"
"someon els expect",2,"someon els","expect"
"sometim next week",2,"sometim next","week"
"song bring back",2,"song bring","back"
"sorri late repli",2,"sorri late","repli"
"soul just know",2,"soul just","know"
"sound like fun",2,"sound like","fun"
"sourc direct knowledg",2,"sourc direct","knowledg"
"spend day home",2,"spend day","home"
"spend qualiti time",2,"spend qualiti","time"
"spent last week",2,"spent last","week"
"st clair counti",2,"st clair","counti"
"st loui region",2,"st loui","region"
"stage puppet theater",2,"stage puppet","theater"
"stanley cup final",2,"stanley cup","final"
"star trek mug",2,"star trek","mug"
"start day right",2,"start day","right"
"start get realli",2,"start get","realli"
"start play like",2,"start play","like"
"state board educ",2,"state board","educ"
"state depart transport",2,"state depart","transport"
"state end make",2,"state end","make"
"stay tune detail",2,"stay tune","detail"
"still face numer",2,"still face","numer"
"stir just blend",2,"stir just","blend"
"stock worth car",2,"stock worth","car"
"stori charact one",2,"stori charact","one"
"street sf br",2,"street sf","br"
"sugar brown sugar",2,"sugar brown","sugar"
"sugarcreekforg build along",2,"sugarcreekforg build","along"
"super easi make",2,"super easi","make"
"superior court judg",2,"superior court","judg"
"susquehanna river basin",2,"susquehanna river","basin"
"sweet potato fri",2,"sweet potato","fri"
"take good care",2,"take good","care"
"talent hard work",2,"talent hard","work"
"tax cut will",2,"tax cut","will"
"tax rate invest",2,"tax rate","invest"
"tea parti movement",2,"tea parti","movement"
"teacher high school",2,"teacher high","school"
"team nonwin prebowl",2,"team nonwin","prebowl"
"teaspoon cream tartar",2,"teaspoon cream","tartar"
"teaspoon sesam oil",2,"teaspoon sesam","oil"
"tell us littl",2,"tell us","littl"
"tenant person financi",2,"tenant person","financi"
"texa de brazil",2,"texa de","brazil"
"th us circuit",2,"th us","circuit"
"thank everyon came",2,"thank everyon","came"
"thank give us",2,"thank give","us"
"thank kind word",2,"thank kind","word"
"thank much follow",2,"thank much","follow"
"thank much love",2,"thank much","love"
"thank put us",2,"thank put","us"
"thank twitter follow",2,"thank twitter","follow"
"that percent increas",2,"that percent","increas"
"there one thing",2,"there one","thing"
"theyr go get",2,"theyr go","get"
"thing came mind",2,"thing came","mind"
"thing get done",2,"thing get","done"
"thing im look",2,"thing im","look"
"thing im thank",2,"thing im","thank"
"thing perspect like",2,"thing perspect","like"
"think bout get",2,"think bout","get"
"think ever sinc",2,"think ever","sinc"
"think go happen",2,"think go","happen"
"think im gonna",2,"think im","gonna"
"think lot peopl",2,"think lot","peopl"
"think might make",2,"think might","make"
"think need see",2,"think need","see"
"though just want",2,"though just","want"
"three best diet",2,"three best","diet"
"three day later",2,"three day","later"
"throughout new jersey",2,"throughout new","jersey"
"throw support behind",2,"throw support","behind"
"tile can use",2,"tile can","use"
"till next time",2,"till next","time"
"time dont think",2,"time dont","think"
"time last year",2,"time last","year"
"time minut second",2,"time minut","second"
"time sinc earli",2,"time sinc","earli"
"time sinc last",2,"time sinc","last"
"today cant wait",2,"today cant","wait"
"today feel like",2,"today feel","like"
"today im go",2,"today im","go"
"today need help",2,"today need","help"
"tomorrow hope will",2,"tomorrow hope","will"
"took long time",2,"took long","time"
"took time go",2,"took time","go"
"total intak calori",2,"total intak","calori"
"tough team beat",2,"tough team","beat"
"toward adopt parent",2,"toward adopt","parent"
"trail light austin",2,"trail light","austin"
"travel leagu pate",2,"travel leagu","pate"
"trenton new jersey",2,"trenton new","jersey"
"tri come someth",2,"tri come","someth"
"tri get earli",2,"tri get","earli"
"tri get feel",2,"tri get","feel"
"tri keep eye",2,"tri keep","eye"
"tri look like",2,"tri look","like"
"tri work now",2,"tri work","now"
"trial error found",2,"trial error","found"
"trophi everi game",2,"trophi everi","game"
"true secur will",2,"true secur","will"
"tuesday first time",2,"tuesday first","time"
"turn around walk",2,"turn around","walk"
"turn will make",2,"turn will","make"
"twelv year ago",2,"twelv year","ago"
"twitter let go",2,"twitter let","go"
"two three time",2,"two three","time"
"two year later",2,"two year","later"
"type person want",2,"type person","want"
"u girl team",2,"u girl","team"
"u lehigh valley",2,"u lehigh","valley"
"u u lehigh",2,"u u","lehigh"
"u wanna go",2,"u wanna","go"
"unfortun didnt get",2,"unfortun didnt","get"
"univers new mexico",2,"univers new","mexico"
"univers north carolina",2,"univers north","carolina"
"unto us believ",2,"unto us","believ"
"us circuit court",2,"us circuit","court"
"us know think",2,"us know","think"
"us right now",2,"us right","now"
"us suprem court",2,"us suprem","court"
"use loos tea",2,"use loos","tea"
"use performanceenhanc drug",2,"use performanceenhanc","drug"
"vacant hous real",2,"vacant hous","real"
"valid least six",2,"valid least","six"
"vanilla ice cream",2,"vanilla ice","cream"
"w bush will",2,"w bush","will"
"wall street analyst",2,"wall street","analyst"
"want come home",2,"want come","home"
"want everyon see",2,"want everyon","see"
"want someth bit",2,"want someth","bit"
"warn sever year",2,"warn sever","year"
"warrant yearold shakope",2,"warrant yearold","shakope"
"wast time money",2,"wast time","money"
"wastewat treatment plant",2,"wastewat treatment","plant"
"way good stori",2,"way good","stori"
"way new york",2,"way new","york"
"wayn counti circuit",2,"wayn counti","circuit"
"web social media",2,"web social","media"
"week ago wife",2,"week ago","wife"
"week cant even",2,"week cant","even"
"weight loss challeng",2,"weight loss","challeng"
"well done everyon",2,"well done","everyon"
"well dont think",2,"well dont","think"
"west mifflin pa",2,"west mifflin","pa"
"western reserv univers",2,"western reserv","univers"
"wet hot beef",2,"wet hot","beef"
"whatev take win",2,"whatev take","win"
"whether win lose",2,"whether win","lose"
"whose name becam",2,"whose name","becam"
"wild inaccur bias",2,"wild inaccur","bias"
"will abl pick",2,"will abl","pick"
"will allow us",2,"will allow","us"
"will also offer",2,"will also","offer"
"will also see",2,"will also","see"
"will come us",2,"will come","us"
"will decemb th",2,"will decemb","th"
"will forc take",2,"will forc","take"
"will give someth",2,"will give","someth"
"will go long",2,"will go","long"
"will happen time",2,"will happen","time"
"will held pm",2,"will held","pm"
"will help us",2,"will help","us"
"will never forget",2,"will never","forget"
"will next time",2,"will next","time"
"window can see",2,"window can","see"
"winner will announc",2,"winner will","announc"
"women work hard",2,"women work","hard"
"won best actor",2,"won best","actor"
"work cast crew",2,"work cast","crew"
"work everi day",2,"work everi","day"
"work full time",2,"work full","time"
"work hard mother",2,"work hard","mother"
"work well dont",2,"work well","dont"
"world hack phone",2,"world hack","phone"
"world realli need",2,"world realli","need"
"worth car allow",2,"worth car","allow"
"worth million first",2,"worth million","first"
"year ago today",2,"year ago","today"
"year ago two",2,"year ago","two"
"year half ago",2,"year half","ago"
"year old girardin",2,"year old","girardin"
"year old time",2,"year old","time"
"yearold boy moder",2,"yearold boy","moder"
"yearold boy yearold",2,"yearold boy","yearold"
"yes yes yes",2,"yes yes","yes"
"york stock exchang",2,"york stock","exchang"
"york time report",2,"york time","report"
"your go get",2,"your go","get"
"your gonna drive",2,"your gonna","drive"
"zemana antilogg licens",2,"zemana antilogg","licens"
